time,latitude,longitude,altitude,distance,elevation,slope,duration,speed,vertical speed
2020-09-27 07:29:33+00:00,45.43087616,6.03934016,0,0.0,2000,2000,0:00:00,2000,2000
2020-09-27 07:29:34+00:00,45.43087616,6.03934144,0,0.09999436189453054,2000,2000,0:00:01,0.09999436189453054,2000
2020-09-27 07:29:35+00:00,45.43087616,6.03934144,0,0.0,2000,2000,0:00:01,0.0,2000
2020-09-27 07:29:36+00:00,45.43087616,6.03934208,0,0.04999718091257275,2000,2000,0:00:01,0.04999718091257275,2000
2020-09-27 07:29:37+00:00,45.43087616,6.03934272,0,0.04999718091257275,2000,2000,0:00:01,0.04999718091257275,2000
2020-09-27 07:29:38+00:00,45.43087616,6.039344,0,0.09999436189453054,2000,2000,0:00:01,0.09999436189453054,2000
2020-09-27 07:29:39+00:00,45.43087616,6.03934528,0,0.09999436189453054,2000,2000,0:00:01,0.09999436189453054,2000
2020-09-27 07:29:40+00:00,45.43087616,6.03934592,0,0.04999718091257275,2000,2000,0:00:01,0.04999718091257275,2000
2020-09-27 07:29:41+00:00,45.43087616,6.0393472,0,0.09999436189453054,2000,2000,0:00:01,0.09999436189453054,2000
2020-09-27 07:29:42+00:00,45.43087616,6.03934784,0,0.04999718091257275,2000,2000,0:00:01,0.04999718091257275,2000
2020-09-27 07:29:43+00:00,45.43087616,6.03934848,0,0.04999718098195778,2000,2000,0:00:01,0.04999718098195778,2000
2020-09-27 07:29:44+00:00,45.43087616,6.03934912,372.1600036621094,0.04999718091257275,0.0,0.0,0:00:01,0.04999718091257275,0.0
2020-09-27 07:29:52+00:00,45.43087616,6.0393568,372.1600036621094,0.5999661712977982,0.0,0.0,0:00:08,0.07499577141222477,0.0
2020-09-27 07:29:57+00:00,45.43087616,6.03936,372.1600036621094,0.24998590470163384,0.0,0.0,0:00:05,0.04999718094032677,0.0
2020-09-27 07:29:58+00:00,45.43087616,6.03935936,372.1600036621094,0.04999718098195778,0.0,0.0,0:00:01,0.04999718098195778,0.0
2020-09-27 07:29:59+00:00,45.43087616,6.03935872,372.1600036621094,0.04999718091257275,0.0,0.0,0:00:01,0.04999718091257275,0.0
2020-09-27 07:30:00+00:00,45.43087616,6.03936064,372.1600036621094,0.14999154280710328,0.0,0.0,0:00:01,0.14999154280710328,0.0
2020-09-27 07:30:08+00:00,45.43087104,6.03937152,372.1600036621094,1.0233611957516378,0.0,0.0,0:00:08,0.12792014946895472,0.0
2020-09-27 07:30:09+00:00,45.43087616,6.03938176,372.1600036621094,0.9822309074953405,0.0,0.0,0:00:01,0.9822309074953405,0.0
