time,nb_entries,latitude,longitude,altitude,distance,elevation,climb,down,slope,duration,speed (min/km),vertical speed (m/min)
2020-09-27 07:30:48+00:00,20,45.43154176,6.04120128,368.6099853515625,159.03465295569268,-3.550018310546875,0,3.550018310546875,-2.232229419544127,0:00:38,3.9823685481707436,-5.605292069284539
2020-09-27 07:31:33+00:00,22,45.43166464,6.04303552,371.1600036621094,150.59506087788708,2.550018310546875,2.550018310546875,0.0,1.693294783827344,0:00:45,4.9802529752828555,3.4000244140625
2020-09-27 07:32:14+00:00,20,45.43250432,6.04454784,369.9700012207031,152.7210981931783,-1.19000244140625,0,1.19000244140625,-0.7791997670819556,0:00:41,4.4743961907322305,-1.7414669874237805
2020-09-27 07:33:01+00:00,23,45.43381504,6.04519104,362.6099853515625,162.82711478384383,-7.360015869140625,0,7.360015869140625,-4.520141426635969,0:00:47,4.810838176675256,-9.395764939328458
2020-09-27 07:33:48+00:00,22,45.43496704,6.04631488,357.70001220703125,156.07985666961628,-4.90997314453125,0,4.90997314453125,-3.145808337666845,0:00:47,5.018808427394526,-6.268050822805851
2020-09-27 07:34:55+00:00,20,45.43596544,6.04680832,349.19000244140625,134.77864748826883,-8.510009765625,10.860015869140625,19.370025634765625,-6.314063781034539,0:01:07,8.285206305377082,-7.620904267723881
2020-09-27 07:35:39+00:00,20,45.43659008,6.04805248,332.3699951171875,141.53617848279325,-16.82000732421875,1.45001220703125,18.27001953125,-11.883892517462298,0:00:44,5.181253357700006,-22.93637362393466
2020-09-27 07:36:20+00:00,20,45.43707136,6.0498016,305.6400146484375,150.00345337075493,-26.72998046875,0,26.72998046875,-17.819576728465737,0:00:41,4.555459788722602,-39.117044588414636
2020-09-27 07:37:05+00:00,22,45.4378752,6.05142272,298.54998779296875,156.67895338315353,-7.09002685546875,0,7.09002685546875,-4.525194164483795,0:00:45,4.786868202814034,-9.453369140625
2020-09-27 07:37:53+00:00,19,45.4386944,6.0526272,300.9200134277344,132.77808721839153,2.370025634765625,2.370025634765625,0.0,1.7849523851533122,0:00:48,6.025102611127155,2.9625320434570312
2020-09-27 07:39:50+00:00,25,45.43917056,6.05369728,338.010009765625,152.6361885750613,37.089996337890625,37.089996337890625,0.0,24.29960855557594,0:01:57,12.7755017876449,19.020510942508015
2020-09-27 07:41:07+00:00,19,45.43979008,6.05486592,365.2799987792969,120.14653217276526,27.269989013671875,27.269989013671875,0.0,22.697275169339775,0:01:17,10.68142273265633,21.249342088575485
2020-09-27 07:41:45+00:00,7,45.44004608,6.05526208,377.19000244140625,44.429245421784294,11.910003662109375,11.910003662109375,0.0,26.806675533295756,0:00:38,14.254903363482896,18.8052689401727
2020-09-27 07:43:48+00:00,24,45.44010752,6.05594368,407.5400085449219,142.35330783631184,36.630035400390625,36.630035400390625,0,25.73177677227599,0:01:59,13.932498865994635,18.46892541196166
2020-09-27 07:45:03+00:00,19,45.43921152,6.05608192,439.05999755859375,121.30938704084126,24.0,24.0,0.0,19.7841243661712,0:01:11,9.754691939887604,20.281690140845072
2020-09-27 07:45:37+00:00,11,45.43861248,6.05598848,446.70001220703125,75.85051816875668,7.6400146484375,7.6400146484375,0.0,10.072462038346986,0:00:34,7.470849424380256,13.482378791360295
2020-09-27 07:46:22+00:00,18,45.4375936,6.05659392,447.510009765625,126.19341831579618,0.80999755859375,4.80999755859375,4.0,0.6418698925856413,0:00:45,5.943269546143351,1.0799967447916667
2020-09-27 07:46:54+00:00,10,45.43712768,6.05704832,456.3299865722656,64.30452476221302,8.819976806640625,8.819976806640625,0.0,13.715950532649716,0:00:32,8.293886036358687,16.537456512451172
2020-09-27 07:47:32+00:00,12,45.43653888,6.05759168,467.7900085449219,79.59167872637165,11.46002197265625,11.46002197265625,0.0,14.398517729541396,0:00:38,7.95729666888095,18.094771535773027
2020-09-27 07:48:05+00:00,11,45.43664128,6.05850368,475.510009765625,76.95309810342124,7.720001220703125,7.720001220703125,0.0,10.032086310973233,0:00:33,7.147224914334509,14.036365855823863
2020-09-27 07:48:46+00:00,13,45.43703552,6.05944704,485.7900085449219,86.34272283423968,10.279998779296875,10.279998779296875,0.0,11.906039608030852,0:00:41,7.914213005673477,15.043900652629572
2020-09-27 07:49:27+00:00,12,45.43718912,6.06038976,496.1499938964844,77.33241880261834,10.3599853515625,10.3599853515625,0.0,13.396691209161725,0:00:41,8.836329065875066,15.160954173018292
2020-09-27 07:50:05+00:00,10,45.43729152,6.06125184,506.7900085449219,68.84780406519275,10.6400146484375,10.6400146484375,0.0,15.454399443680662,0:00:38,9.199053021361268,16.800023129111842
2020-09-27 07:50:51+00:00,13,45.43711232,6.06231104,513.77001953125,86.66043131437378,6.980010986328125,8.550018310546875,1.57000732421875,8.054438317998999,0:00:46,8.846808034208777,9.104362156080162
2020-09-27 07:51:36+00:00,13,45.43700992,6.06333312,526.4000244140625,81.93854923618684,12.6300048828125,12.6300048828125,0.0,15.413996221005414,0:00:45,9.153219174507594,16.840006510416668
2020-09-27 07:52:25+00:00,15,45.4372352,6.06449536,537.5900268554688,99.44164863606399,11.19000244140625,11.19000244140625,0.0,11.25283278675252,0:00:49,8.212537816914503,13.702043805803571
2020-09-27 07:53:42+00:00,19,45.43760896,6.06585344,555.4000244140625,119.8410318130749,17.80999755859375,17.80999755859375,0.0,14.861351983662278,0:01:17,10.708651958218415,13.877920175527596
2020-09-27 07:54:47+00:00,12,45.43706624,6.06560768,570.5900268554688,78.08158421483724,13.8299560546875,13.8299560546875,0.0,17.71218680276149,0:00:57,12.166785671076054,14.557848478618421
2020-09-27 07:55:28+00:00,13,45.43649792,6.06484864,572.6300048828125,89.99158433020048,2.03997802734375,6.3699951171875,4.33001708984375,2.2668542203441895,0:00:41,7.593317809504084,2.985333698551829
2020-09-27 07:56:19+00:00,20,45.43563264,6.06359872,575.0800170898438,138.96229093812593,2.45001220703125,2.45001220703125,0.0,1.7630770121098085,0:00:51,6.116779554091188,2.882367302389706
2020-09-27 07:57:08+00:00,14,45.43484416,6.06338816,586.3499755859375,94.95865753402398,11.26995849609375,11.26995849609375,0.0,11.868279089829896,0:00:49,8.600251111462745,13.799949178890307
2020-09-27 07:57:51+00:00,11,45.43421952,6.06315264,596.530029296875,72.57630048584689,10.1800537109375,10.1800537109375,0.0,14.026691416880244,0:00:43,9.874684920592742,14.204726108284884
2020-09-27 07:58:40+00:00,22,45.43349248,6.06140608,579.530029296875,172.97911585959855,-17.0,3.90997314453125,20.90997314453125,-9.827775980655572,0:00:49,4.721195942884011,-20.816326530612244
2020-09-27 07:59:25+00:00,18,45.43281152,6.0601024,582.1699829101562,129.18260393667757,2.63995361328125,2.63995361328125,0.0,2.0435829073203204,0:00:45,5.805746881891574,3.5199381510416665
2020-09-27 08:00:06+00:00,15,45.43216128,6.05920128,589.4400024414062,102.27259406940658,7.27001953125,7.27001953125,0.0,7.108472799972446,0:00:41,6.681503546651604,10.639052972560975
2020-09-27 08:00:54+00:00,21,45.43122432,6.05795584,589.4400024414062,144.51757563053314,0.0,1.19000244140625,1.19000244140625,0.0,0:00:48,5.535669945399904,0.0
2020-09-27 08:01:37+00:00,15,45.43045632,6.05705984,594.4400024414062,111.21223880095842,5.0,5.0,0.0,4.49590805284365,0:00:43,6.444147764012316,6.976744186046512
2020-09-27 08:02:12+00:00,12,45.42979584,6.05652992,601.6300048828125,84.89312106385042,7.19000244140625,7.19000244140625,0.0,8.46947591430695,0:00:35,6.8713989153639226,12.325718470982142
2020-09-27 08:03:10+00:00,19,45.4287104,6.05590848,586.530029296875,138.60023820135413,-15.0999755859375,4.09002685546875,19.19000244140625,-10.89462455612863,0:00:58,6.974508936959068,-15.62066439924569
2020-09-27 08:03:56+00:00,10,45.42814208,6.05610176,597.9000244140625,66.59619860356726,11.3699951171875,11.3699951171875,0.0,17.073039235873832,0:00:46,11.512191627690486,14.830428413722824
2020-09-27 08:04:42+00:00,10,45.42761472,6.05641536,609.719970703125,64.4337727023061,11.8199462890625,11.8199462890625,0.0,18.344333714048474,0:00:46,11.898545868827586,15.41732124660326
2020-09-27 08:05:32+00:00,11,45.42701568,6.05677056,634.8800048828125,68.65827059102054,11.72003173828125,11.72003173828125,0.0,17.070094596606477,0:00:44,10.680938999589497,15.981861461292615
