time,latitude,longitude,altitude,distance,elevation,slope,duration,speed,vertical speed
2020-09-27 07:30:11+00:00,45.43089152,6.03943808,372.1600036621094,2.8846326105366193,0.0,0.0,0:00:01,2.8846326105366193,0.0
2020-09-27 07:30:12+00:00,45.43090688,6.03948032,372.1600036621094,3.71650542538314,0.0,0.0,0:00:01,3.71650542538314,0.0
2020-09-27 07:30:14+00:00,45.43093248,6.0395776,372.1600036621094,8.116320859953243,0.0,0.0,0:00:02,4.058160429976621,0.0
2020-09-27 07:30:16+00:00,45.4309632,6.0396864,372.1600036621094,9.161675325780822,0.0,0.0,0:00:02,4.580837662890411,0.0
2020-09-27 07:30:18+00:00,45.4309888,6.03979776,372.1600036621094,9.154369010026908,0.0,0.0,0:00:02,4.577184505013454,0.0
2020-09-27 07:30:20+00:00,45.43101952,6.039904,372.1600036621094,8.976443776975147,0.0,0.0,0:00:02,4.4882218884875735,0.0
2020-09-27 07:30:22+00:00,45.43105536,6.04001408,372.1600036621094,9.479921694500451,0.0,0.0,0:00:02,4.7399608472502255,0.0
2020-09-27 07:30:24+00:00,45.43108608,6.04012288,372.1600036621094,9.161658158420662,0.0,0.0,0:00:02,4.580829079210331,0.0
2020-09-27 07:30:26+00:00,45.43112704,6.04022208,372.1600036621094,8.991421213361155,0.0,0.0,0:00:02,4.495710606680578,0.0
2020-09-27 07:30:28+00:00,45.43117312,6.04031744,370.9700012207031,9.044808802853122,-1.19000244140625,-13.156745126893915,0:00:02,4.522404401426561,-0.595001220703125
2020-09-27 07:30:30+00:00,45.43121408,6.04041536,370.9700012207031,8.905372538976845,0.0,0.0,0:00:02,4.452686269488423,0.0
2020-09-27 07:30:32+00:00,45.43125504,6.04051392,370.9700012207031,8.948350652572946,0.0,0.0,0:00:02,4.474175326286473,0.0
2020-09-27 07:30:34+00:00,45.431296,6.0406048,369.7900085449219,8.43765452342615,-1.17999267578125,-13.984842262801111,0:00:02,4.218827261713075,-0.589996337890625
2020-09-27 07:30:36+00:00,45.43133184,6.04068928,369.7900085449219,7.711813723518481,0.0,0.0,0:00:02,3.8559068617592405,0.0
2020-09-27 07:30:38+00:00,45.43136768,6.0407744,369.7900085449219,7.754639269386284,0.0,0.0,0:00:02,3.877319634693142,0.0
2020-09-27 07:30:40+00:00,45.43140352,6.04086016,369.7900085449219,7.797550073560825,0.0,0.0,0:00:02,3.8987750367804126,0.0
2020-09-27 07:30:42+00:00,45.43143936,6.040944,369.7900085449219,7.669060658522695,0.0,0.0,0:00:02,3.8345303292613475,0.0
2020-09-27 07:30:44+00:00,45.4314752,6.04102592,369.7900085449219,7.5413655731921585,0.0,0.0,0:00:02,3.7706827865960793,0.0
2020-09-27 07:30:46+00:00,45.43150592,6.04111296,368.6099853515625,7.611070251868676,-1.180023193359375,-15.504037596679058,0:00:02,3.805535125934338,-0.5900115966796875
2020-09-27 07:30:48+00:00,45.43154176,6.04120128,368.6099853515625,7.9700188128763605,0.0,0.0,0:00:02,3.9850094064381802,0.0
2020-09-27 07:30:50+00:00,45.4315776,6.0412896,368.6099853515625,7.970015019615267,0.0,0.0,0:00:02,3.9850075098076334,0.0
2020-09-27 07:30:52+00:00,45.43160832,6.0413792,368.6099853515625,7.790240227742447,0.0,0.0,0:00:02,3.8951201138712235,0.0
2020-09-27 07:30:54+00:00,45.43163904,6.0414688,368.6099853515625,7.79023680423693,0.0,0.0,0:00:02,3.895118402118465,0.0
2020-09-27 07:30:56+00:00,45.43164928,6.04155904,368.6099853515625,7.141074887302775,0.0,0.0,0:00:02,3.5705374436513875,0.0
2020-09-27 07:30:58+00:00,45.43163904,6.04164672,368.6099853515625,6.943725378749068,0.0,0.0,0:00:02,3.471862689374534,0.0
2020-09-27 07:31:00+00:00,45.43162368,6.0417344,368.6099853515625,7.059715800805776,0.0,0.0,0:00:02,3.529857900402888,0.0
2020-09-27 07:31:02+00:00,45.43159808,6.04181952,368.6099853515625,7.234471810706261,0.0,0.0,0:00:02,3.6172359053531307,0.0
2020-09-27 07:31:04+00:00,45.4315776,6.04190784,368.6099853515625,7.266430170429633,0.0,0.0,0:00:02,3.6332150852148164,0.0
2020-09-27 07:31:06+00:00,45.43156736,6.04199744,368.6099853515625,7.091731482122255,0.0,0.0,0:00:02,3.5458657410611276,0.0
2020-09-27 07:31:08+00:00,45.43155712,6.04208384,368.6099853515625,6.845118332782215,0.0,0.0,0:00:02,3.4225591663911077,0.0
2020-09-27 07:31:10+00:00,45.43154176,6.0421632,368.6099853515625,6.4310484778996155,0.0,0.0,0:00:02,3.2155242389498078,0.0
2020-09-27 07:31:12+00:00,45.43153152,6.04224,368.6099853515625,6.106921490599405,0.0,0.0,0:00:02,3.0534607452997027,0.0
2020-09-27 07:31:14+00:00,45.4315264,6.04231168,368.6099853515625,5.628550904298908,0.0,0.0,0:00:02,2.814275452149454,0.0
2020-09-27 07:31:16+00:00,45.43152128,6.04238464,368.6099853515625,5.728039587810528,0.0,0.0,0:00:02,2.864019793905264,0.0
2020-09-27 07:31:18+00:00,45.43153152,6.04246592,368.6099853515625,6.451079755484406,0.0,0.0,0:00:02,3.225539877742203,0.0
2020-09-27 07:31:20+00:00,45.43154688,6.0425472,368.6099853515625,6.575763332884817,0.0,0.0,0:00:02,3.2878816664424084,0.0
2020-09-27 07:31:22+00:00,45.43156224,6.04263104,368.6099853515625,6.769068564737679,0.0,0.0,0:00:02,3.3845342823688394,0.0
